,EMD_KOR_NM,사업장명,도로명전체주소,X,Y,geometry
135,서귀동,유선약국,제주특별자치도 서귀포시 중정로73번길 3-1 (서귀동),126.563947208878,33.2484656232787,POINT (126.563947208878 33.2484656232787)
136,한림읍,중앙약국,제주특별자치도 제주시 한림읍 한림로 664,126.264059203941,33.4143607876119,POINT (126.264059203941 33.4143607876119)
137,노형동,유성약국,"제주특별자치도 제주시 도령로 5 (노형동,1층)",126.479932791957,33.486787562871,POINT (126.479932791957 33.486787562871)
138,삼도이동,탑동보룡약국,"제주특별자치도 제주시 탑동로 24 (삼도이동, 형화빌딩)",126.522460881414,33.517560202795,POINT (126.522460881414 33.517560202795)
139,연동,신세계약국,"제주특별자치도 제주시 연동8길 7 (연동,1층)",126.490807609442,33.4851414250848,POINT (126.490807609442 33.4851414250848)
140,한림읍,동서약국,제주특별자치도 제주시 한림읍 한림로 682,126.265313622355,33.4155325327961,POINT (126.265313622355 33.4155325327961)
141,노형동,열린약국,제주특별자치도 제주시 월랑로10길 34 (노형동),126.478761417262,33.490928248696,POINT (126.478761417262 33.490928248696)
142,연동,신제주대웅약국,제주특별자치도 제주시 성신로 13-8 (연동),126.484844218554,33.490914736412,POINT (126.484844218554 33.490914736412)
143,이도이동,세브란스약국,제주특별자치도 제주시 동광로 90 (이도이동),126.537739354044,33.5048156552258,POINT (126.537739354044 33.5048156552258)
144,이도이동,정다운약국,제주특별자치도 제주시 서광로 302 (이도이동),126.528859722904,33.5003324893306,POINT (126.528859722904 33.5003324893306)
145,한림읍,한림약국,제주특별자치도 제주시 한림읍 한림로 679,126.264925102571,33.415492274444,POINT (126.264925102571 33.415492274444)
146,도련일동,시원한약국,"제주특별자치도 제주시 화삼북로 68, 삼화지구 신형빌딩 1층 102호 (도련일동)",126.580288525295,33.5170666641725,POINT (126.580288525295 33.5170666641725)
147,한경면,장수약국,제주특별자치도 제주시 한경면 고산로 16,126.179780740401,33.302409591532,POINT (126.179780740401 33.302409591532)
148,일도이동,신산약국,"제주특별자치도 제주시 성지로 76-1 (일도이동,1층)",126.531362263895,33.5115250525451,POINT (126.531362263895 33.5115250525451)
149,용담일동,영신온누리약국,제주특별자치도 제주시 서문로 68 (용담일동),126.518385714275,33.5117397203378,POINT (126.518385714275 33.5117397203378)
150,도두일동,365약국,제주특별자치도 제주시 서해안로 161 (도두일동),126.466051763303,33.5040159739566,POINT (126.466051763303 33.5040159739566)
151,연동,태평양약국,"제주특별자치도 제주시 연동7길 30, 1층 (연동)",126.490528109697,33.4872302576653,POINT (126.490528109697 33.4872302576653)
152,조천읍,영재약국,제주특별자치도 제주시 조천읍 신북로 510-1,126.66441730071,33.5421128303994,POINT (126.66441730071 33.5421128303994)
153,이호이동,제주예스약국,"제주특별자치도 제주시 억삼길 35-57, 가동 1층 3호 (이호이동)",126.471259738003,33.4917415285373,POINT (126.471259738003 33.4917415285373)
154,이도이동,제주튼튼한약국,"제주특별자치도 제주시 중앙로 371, 1층 (이도이동)",126.539431766652,33.4891743543604,POINT (126.539431766652 33.4891743543604)
155,조천읍,봄날온누리약국,"제주특별자치도 제주시 조천읍 신북로 46, 1층",126.619214304059,33.532867261547,POINT (126.619214304059 33.532867261547)
