사업장명,도로명주소,X,Y
GS25 함덕교차로점,제주특별자치도 제주시 조천읍 함덕로 2,126.67425264617,33.5403377118857
씨유제주신촌점,제주특별자치도 제주시 조천읍 신촌3길 1,126.618837545115,33.5331529890577
GS25제주중앙여중점,"제주특별자치도 제주시 서사로11길 5, 1층 (삼도이동, 신영빌라)",126.520761430849,33.5058806599097
(주)코리아세븐제주이도남광점,"제주특별자치도 제주시 남광로 24, 1층 (이도이동)",126.538583757228,33.4929479778662
씨유 제주현사마을점,제주특별자치도 제주시 테우해안로 138 (이호일동),126.448722847851,33.4975156359175
세븐일레븐 제주평대점,제주특별자치도 제주시 구좌읍 일주동로 2973,126.839529025244,33.529319090258
백록마트,제주특별자치도 제주시 정존11길 54 (노형동),126.47441897873,33.4887359010105
제주킹스토어(주),제주특별자치도 제주시 동문로 82 (일도이동),126.535495555204,33.5134585737979
씨유제주삼무공원점,"제주특별자치도 제주시 삼무로3길 50, 1층 (연동)",126.49070576179,33.4904276724606
세븐일레븐 제주문송로점,제주특별자치도 제주시 신대로 119 (연동),126.496770436119,33.4865847978268
세븐일레븐 제주남성로점,제주특별자치도 제주시 남성로 119 (삼도일동),126.518147653971,33.5090377200824
씨유 제주탐라점,제주특별자치도 제주시 신설로 36 (아라이동),126.544045471015,33.4929399747579
세븐일레븐 월림점,제주특별자치도 제주시 한림읍 중산간서로 3877,126.255929675391,33.3498176788746
세븐 일레븐 제주연동중앙점,"제주특별자치도 제주시 선덕로3길 19, 102호 (연동)",126.498554637605,33.4874984912871
GS25제주과원점,제주특별자치도 제주시 과원로 51 (연동),126.488841581143,33.4765177085135
씨유 중흥S점,제주특별자치도 제주시 한라대학로 107 (노형동),126.481308803326,33.4773391411127
씨유 제주연산홍점,제주특별자치도 제주시 승천로 8 (이도이동),126.538298526217,33.4969152797554
세븐일래븐월랑점,"제주특별자치도 제주시 월랑로10길 26, 101호 (노형동, 대성빌리지)",126.478076136278,33.4903645747206
세븐일레븐 제주대원룸타운점,제주특별자치도 제주시 산천단동3길 10 (아라일동),126.559574777901,33.4488175628129
씨유 제주아라중점,"제주특별자치도 제주시 간월동로 33, 1층 (아라이동)",126.545770070416,33.4869030092438
GS25연동삼무정,제주특별자치도 제주시 삼무로 47 (연동),126.491762529504,33.490096348438
씨유케이티점,"제주특별자치도 제주시 전농로 115 (이도일동, 고우빌딩)",126.525449821966,33.5046704685539
GS25 제주함덕점,제주특별자치도 제주시 조천읍 함덕13길 2,126.667828386721,33.5415067809919
씨유 제주사라봉점,제주특별자치도 제주시 임항로 279 (건입동),126.538869903221,33.5157744744228
씨유제주오라점,"제주특별자치도 제주시 연사길 60, 상가동 103호 (오라이동, 회성푸르니3차)",126.512666023474,33.4892589784017
GS25한림뉴월드점,제주특별자치도 제주시 한림읍 한림북동길 26,126.2639453928,33.4173889944511
CU한림점,제주특별자치도 제주시 한림읍 한림로 698,126.265045142687,33.4168889131315
CU한림중앙점,제주특별자치도 제주시 한림읍 한림중앙로 23,126.265008854411,33.4127098405573
CU제주한림항점,제주특별자치도 제주시 한림읍 한림해안로 160,126.263432801303,33.4165078964073
GS25노형신도시점,"제주특별자치도 제주시 노형11길 12, 1층 (노형동)",126.477983842229,33.4839570257778
씨유제주도리로점,제주특별자치도 제주시 도리로 59 (이호일동),126.458447016692,33.4990425332361
GS25제주일고점,제주특별자치도 제주시 진군1길 13 (노형동),126.480760507556,33.4788416942321
세븐일레븐제주삼성제일점,제주특별자치도 제주시 신산로 36 (일도이동),126.532246193948,33.5101704168346
GS25 노형서광점,제주특별자치도 제주시 진군1길 4 (노형동),126.481483921526,33.4791145695245
세븐일레븐 제주연동풀하우스점,제주특별자치도 제주시 연동8길 29 (연동),126.49089268867,33.4831970392066
(주)코리아세븐 제주동서타워점,"제주특별자치도 제주시 연동1길 3, 101호 (연동)",126.486881065535,33.489561423239
세븐일레븐남광로점,제주특별자치도 제주시 중앙로 327 (이도이동),126.53643897361,33.4921553158774
지에스25제주구남점,"제주특별자치도 제주시 구남동8길 50, 1층 (아라일동)",126.535716481809,33.4858090833664
씨유 화북남문점,제주특별자치도 제주시 진남로6길 15 (화북일동),126.565596684032,33.520017321733
(주)코리아세븐 제주노형센터점,제주특별자치도 제주시 정존15길 5 (노형동),126.477832695126,33.4858716405939
세븐일레븐 제주웰컴점,"제주특별자치도 제주시 선덕로 26, 106호 (연동, 고정아파트)",126.499486772577,33.4854032612406
GS25 도남사거리점,"제주특별자치도 제주시 도남로 86, 1층 (도남동)",126.528076852578,33.4929087697033
세븐일레븐 제주이도동광양점,제주특별자치도 제주시 동광로 51 (이도일동),126.534015565466,33.5031874049848
CU하귀대성점,제주특별자치도 제주시 애월읍 하귀로 74,126.404851966739,33.4813466633644
씨유 제주열린점,제주특별자치도 제주시 삼무로 11 (연동),126.4879823138,33.4902110670701
(주)코리아세븐 제주이도뉴타워점,제주특별자치도 제주시 구남동6길 6 (이도이동),126.538336743869,33.4887206546627
씨유제주 부영 7차점,"제주특별자치도 제주시 화삼북로 90, 상가1동 101호 (도련일동)",126.582079479293,33.5170239432179
GS25제대후문점,제주특별자치도 제주시 산천단동2길 20 (아라일동),126.558417369983,33.4497382188114
씨유 제주제광점,제주특별자치도 제주시 광양14길 17 (이도이동),126.529180813791,33.4976550783368
(주)코리아세븐 제주화북중앙점,제주특별자치도 제주시 진남로6길 21 (화북일동),126.565595082545,33.5206606916378
(주)코리아세븐 제주노형백두점,제주특별자치도 제주시 원노형로 26 (노형동),126.484759413813,33.4864471773391
지에스25제주진군점,제주특별자치도 제주시 진군3길 16 (노형동),126.479194526643,33.477785669764
