ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 광진구|서울특별시 광진구청|혼인|201502|163|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|개명|201502|86|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|사망|201502|155|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|이혼|201502|57|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|출생|201502|335|2017-11-21 16:58:47
서울특별시|서울특별시 구로구|서울특별시 구로구청|혼인|201502|225|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|개명|201502|43|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|사망|201502|88|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|이혼|201502|35|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|출생|201502|120|2017-11-21 16:58:47
서울특별시|서울특별시 금천구|서울특별시 금천구청|혼인|201502|118|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|개명|201502|73|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|사망|201502|225|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|이혼|201502|71|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|출생|201502|318|2017-11-21 16:58:47
서울특별시|서울특별시 노원구|서울특별시 노원구청|혼인|201502|237|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|개명|201502|51|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|사망|201502|142|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|이혼|201502|96|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|출생|201502|171|2017-11-21 16:58:47
서울특별시|서울특별시 도봉구|서울특별시 도봉구청|혼인|201502|91|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|개명|201502|52|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|사망|201502|105|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|이혼|201502|44|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|출생|201502|188|2017-11-21 16:58:47
서울특별시|서울특별시 동대문구|서울특별시 동대문구청|혼인|201502|132|2017-11-21 16:58:47
서울특별시|서울특별시 동작구|서울특별시 동작구청|개명|201502|64|2017-11-21 16:58:47
