,행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
147,보라매동,1121052,4482,1158,446,166514100.2,0.467772094,0.33466459,0.432342315,-0.598083802,54.67772094,53.3466459,54.32342315,44.01916198,49.0712161
148,보문동,1108061,2415,486,195,139780585,-0.887513496,-0.61282195,-0.664630643,-0.742786775,41.12486504,43.8717805,43.35369357,42.57213225,42.60781242
149,부암동,1101055,1802,174,121,10205204.89,-1.289443862,-1.052726414,-0.988040997,-1.444151434,37.10556138,39.47273586,40.11959003,35.55848566,37.12303263
150,북가좌1동,1113071,2961,544,242,203665495.4,-0.529513528,-0.531044838,-0.459221364,-0.396991005,44.70486472,44.68955162,45.40778636,46.03008995,45.45266275
151,북가좌2동,1113072,6363,1521,593,201502038.8,1.701101651,0.846476515,1.074792614,-0.408701347,67.01101651,58.46476515,60.74792614,45.91298653,54.18352124
152,북아현동,1113074,2258,595,195,239668119.4,-0.990454878,-0.459137377,-0.664630643,-0.202116268,40.09545122,45.40862623,43.35369357,47.97883732,45.37423019
153,불광1동,1112052,7722,1849,623,310525781.3,2.592167503,1.308940183,1.20590492,0.18142156,75.92167503,63.08940183,62.0590492,51.8142156,59.88946928
154,불광2동,1112072,5954,2234,488,320649995.9,1.432929514,1.851771013,0.615899544,0.236221834,64.32929514,68.51771013,56.15899544,52.36221834,58.0574419
155,사근동,1104055,1508,258,113,855235236,-1.482213075,-0.934290597,-1.023004279,3.129820867,35.17786925,40.65709403,39.76995721,81.29820867,59.77091429
156,사당1동,1120063,3800,784,273,256492431.7,0.020599974,-0.192656788,-0.323738648,-0.111049755,50.20599974,48.07343212,46.76261352,48.88950245,48.74412848
157,사당2동,1120073,5480,589,297,230832392,1.122138334,-0.467597078,-0.218848803,-0.249942228,61.22138334,45.32402922,47.81151197,47.50057772,49.90270964
158,사당3동,1120065,4487,585,271,118454371.9,0.471050482,-0.473236879,-0.332479468,-0.858221144,54.71050482,45.26763121,46.67520532,41.41778856,45.40723137
159,사당4동,1120066,2681,563,181,196679335.9,-0.713103255,-0.504255784,-0.725816386,-0.434805637,42.86896745,44.95744216,42.74183614,45.65194363,44.6100472
160,사당5동,1120067,2347,377,192,316224573.1,-0.932099572,-0.766506522,-0.677741874,0.212267938,40.67900428,42.33493478,43.22258126,52.12267938,47.00857679
