,EMD_CD,EMD_KOR_NM,SIG_KOR_NM,약국명,경도,위도,geometry
529,11380114,진관동,은평구,뉴타운메디컬약국,126.92189996566356,37.64288096291671,POINT (948998.9968605912 1960535.2476497162)
530,11305101,미아동,강북구,뉴타운약국,127.01884795138126,37.61855057517614,POINT (957538.1347259235 1957787.598618225)
531,11230102,용두동,동대문구,뉴프라자약국,127.03785957858608,37.575245687813975,POINT (959192.2847850691 1952974.6900247608)
532,11215105,자양동,광진구,느티나무약국,127.08362204455604,37.53565261966303,POINT (963213.7431468964 1948563.1670654672)
533,11380107,응암동,은평구,늘봄약국,126.91910615121714,37.59952388793916,POINT (948722.7477374256 1955726.4591449734)
534,11590102,상도동,동작구,늘사랑약국,126.93069865094888,37.50003622432401,POINT (949679.2194522563 1944682.5329223874)
535,11530107,개봉동,구로구,늘사랑약국,126.8529687577124,37.48607480826273,POINT (942797.9232447367 1943177.9903221047)
536,11545103,시흥동,금천구,늘사랑온누리약국,126.92002227752975,37.44977836390086,POINT (948701.181353425 1939112.5038425324)
537,11740103,상일동,강동구,늘온누리약국,127.172886593605,37.5563707116976,POINT (971108.1308681881 1950830.5395875343)
538,11305102,번동,강북구,녹원당약국,127.04715515861798,37.626176850066095,POINT (960040.3535363621 1958621.2731354036)
539,11230106,장안동,동대문구,늘조은온누리약국,127.071246436166,37.5816724873141,POINT (962143.6648320671 1953673.7336846325)
540,11110115,사직동,종로구,가람약국,126.968429762772,37.5746716527447,POINT (953061.1215922172 1952943.4244421688)
541,11710107,가락동,송파구,늘조은온누리약국,127.1348215955,37.49284364999999,POINT (967718.7163767128 1943794.9936123386)
542,11230105,답십리동,동대문구,늘좋은약국,127.056069477856,37.5648154905761,POINT (960794.7887359798 1951809.7603359667)
543,11215102,능동,광진구,늘좋은약국,127.078796821131,37.5554374596027,POINT (962797.2747588856 1950760.0803124418)
544,11650108,서초동,서초구,늘편한약국,127.0261996335,37.4972244867,POINT (958119.0756466392 1944323.8097507374)
545,11215101,중곡동,광진구,늘편한약국,127.080930080374,37.5648016070512,POINT (962990.3277137999 1951798.1392141178)
546,11320107,창동,도봉구,늘편한약국,127.03730212098894,37.63747410886628,POINT (959177.0836331109 1959878.90045889)
547,11260101,면목동,중랑구,늘푸른솔약국,127.08716718913244,37.58813674997957,POINT (963552.5289062748 1954384.6146588824)
548,11500103,화곡동,강서구,늘푸른약국,126.842614160726,37.54256458064398,POINT (941926.2849199071 1949451.5796670387)
549,11260103,중화동,중랑구,늘푸른약국,127.0790126484,37.60215285550001,POINT (962839.5622506028 1955942.829893037)
550,11290139,석관동,성북구,늘푸른약국,127.0610377005,37.6066540547,POINT (961255.2453772695 1956449.4829407812)
551,11320108,도봉동,도봉구,늘푸른약국,127.04395956590405,37.67604466062934,POINT (959785.2689791312 1964155.2921658678)
552,11530102,구로동,구로구,늘푸른약국,126.89322687190072,37.49255517485271,POINT (946361.6915634078 1943873.2485536097)
553,11440103,신공덕동,마포구,늘푸른약국,126.95247066449498,37.54284822569952,POINT (951631.3180197969 1949420.8649465488)
554,11230104,전농동,동대문구,늘푸른약국,127.057656846305,37.5782125227182,POINT (960941.973100665 1953295.4309681961)
555,11680108,논현동,강남구,늘푸른약국,127.03778092206636,37.50886234303103,POINT (959149.134853766 1945609.865643672)
556,11110177,평동,종로구,늘푸른약국,126.967693785699,37.5674449313701,POINT (952991.5906092527 1952142.0221824285)
557,11305101,미아동,강북구,늘푸른약국,127.03337910350275,37.61258169005504,POINT (958817.2304013921 1957118.901725383)
