사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일시
씨유 제주화북진남점,안전상비의약품 판매업소,20140305,,영업/정상,,,,,,제주특별자치도 제주시 화북일동 1930번지,제주특별자치도 제주시 진남로 22 (화북일동),63291,2018-08-31 23:59:59.0
씨유제주유블레스호텔점,안전상비의약품 판매업소,20180406,,영업/정상,,,,,,,"제주특별자치도 제주시 조천읍 조함해안로 502, 유탑유블레스호텔",63333,2018-11-15 02:35:40.0
씨유제주송당마을점,안전상비의약품 판매업소,20180511,,영업/정상,,,,,,제주특별자치도 제주시 구좌읍 송당리 1389번지 15호,제주특별자치도 제주시 구좌읍 중산간동로 2281-2,63355,2018-08-31 23:59:59.0
씨유제주함덕길점,안전상비의약품 판매업소,20180521,,영업/정상,,,,,,제주특별자치도 제주시 조천읍 함덕리 1565번지,제주특별자치도 제주시 조천읍 함덕12길 46-1,63333,2018-08-31 23:59:59.0
GS25 함덕교차로점,안전상비의약품 판매업소,20180618,,영업/정상,,,,,,,제주특별자치도 제주시 조천읍 함덕로 2,63333,2018-08-31 23:59:59.0
씨유제주신촌점,안전상비의약품 판매업소,20180628,,영업/정상,,,,,,제주특별자치도 제주시 조천읍 신촌리 1823번지 2호,제주특별자치도 제주시 조천읍 신촌3길 1,63337,2018-11-15 02:35:40.0
GS25제주중앙여중점,안전상비의약품 판매업소,20140618,,영업/정상,,,,,,제주특별자치도 제주시 삼도이동 598번지 20호 신영빌라,"제주특별자치도 제주시 서사로11길 5, 1층 (삼도이동, 신영빌라)",63171,2018-08-31 23:59:59.0
(주)코리아세븐제주이도남광점,안전상비의약품 판매업소,20160407,,영업/정상,,,,,,,"제주특별자치도 제주시 남광로 24, 1층 (이도이동)",63231,2018-08-31 23:59:59.0
씨유 제주현사마을점,안전상비의약품 판매업소,20121210,,영업/정상,,,,,,제주특별자치도 제주시 이호일동 1792번지,제주특별자치도 제주시 테우해안로 138 (이호일동),63111,2018-08-31 23:59:59.0
세븐일레븐 제주평대점,안전상비의약품 판매업소,20140619,,영업/정상,,,,,,,제주특별자치도 제주시 구좌읍 일주동로 2973,63360,2018-08-31 23:59:59.0
백록마트,안전상비의약품 판매업소,20130125,,영업/정상,,,,,,제주특별자치도 제주시 노형동 2582번지 4호,제주특별자치도 제주시 정존11길 54 (노형동),63100,2018-08-31 23:59:59.0
제주킹스토어(주),안전상비의약품 판매업소,20130220,,영업/정상,,,,,,제주특별자치도 제주시 일도이동 982번지 5호,제주특별자치도 제주시 동문로 82 (일도이동),63266,2018-08-31 23:59:59.0
씨유제주삼무공원점,안전상비의약품 판매업소,20170804,,영업/정상,,,,,,제주특별자치도 제주시 연동 271번지 33호 1층,"제주특별자치도 제주시 삼무로3길 50, 1층 (연동)",63125,2018-08-31 23:59:59.0
세븐일레븐 제주문송로점,안전상비의약품 판매업소,20121113,,영업/정상,,,,,,제주특별자치도 제주시 연동 303번지 30호,제주특별자치도 제주시 신대로 119 (연동),63122,2018-08-31 23:59:59.0
세븐일레븐 제주남성로점,안전상비의약품 판매업소,20141121,,영업/정상,,,,,,제주특별자치도 제주시 삼도일동 710번지 7호,제주특별자치도 제주시 남성로 119 (삼도일동),63172,2018-08-31 23:59:59.0
씨유 제주탐라점,안전상비의약품 판매업소,20141201,,영업/정상,,,,,,제주특별자치도 제주시 아라이동 3001번지 16호,제주특별자치도 제주시 신설로 36 (아라이동),63227,2018-08-31 23:59:59.0
세븐일레븐 월림점,안전상비의약품 판매업소,20140620,,영업/정상,,,,,,제주특별자치도 제주시 한림읍 협재리 2514번지 9호 8통,제주특별자치도 제주시 한림읍 중산간서로 3877,63017,2018-08-31 23:59:59.0
세븐 일레븐 제주연동중앙점,안전상비의약품 판매업소,20160801,,영업/정상,,,,,,,"제주특별자치도 제주시 선덕로3길 19, 102호 (연동)",63122,2018-08-31 23:59:59.0
GS25제주과원점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,제주특별자치도 제주시 연동 1531번지 9호,제주특별자치도 제주시 과원로 51 (연동),63140,2018-08-31 23:59:59.0
씨유 중흥S점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,제주특별자치도 제주시 노형동 753번지 1호,제주특별자치도 제주시 한라대학로 107 (노형동),63089,2018-08-31 23:59:59.0
씨유 제주연산홍점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,제주특별자치도 제주시 이도이동 1069번지,제주특별자치도 제주시 승천로 8 (이도이동),63224,2018-08-31 23:59:59.0
세븐일래븐월랑점,안전상비의약품 판매업소,20160307,,영업/정상,,,,,,,"제주특별자치도 제주시 월랑로10길 26, 101호 (노형동, 대성빌리지)",63097,2021-03-20 02:40:00.0
세븐일레븐 제주대원룸타운점,안전상비의약품 판매업소,20160307,,영업/정상,,,,,,,제주특별자치도 제주시 산천단동3길 10 (아라일동),63243,2018-08-31 23:59:59.0
씨유 제주아라중점,안전상비의약품 판매업소,20160310,,영업/정상,,,,,,,"제주특별자치도 제주시 간월동로 33, 1층 (아라이동)",63245,2018-08-31 23:59:59.0
GS25연동삼무정,안전상비의약품 판매업소,20160321,,영업/정상,,,,,,,제주특별자치도 제주시 삼무로 47 (연동),63125,2018-08-31 23:59:59.0
씨유케이티점,안전상비의약품 판매업소,20160321,,영업/정상,,,,,,,"제주특별자치도 제주시 전농로 115 (이도일동, 고우빌딩)",63198,2018-08-31 23:59:59.0
GS25 제주함덕점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,,제주특별자치도 제주시 조천읍 함덕13길 2,63333,2018-08-31 23:59:59.0
씨유 제주사라봉점,안전상비의약품 판매업소,20130308,,영업/정상,,,,,,제주특별자치도 제주시 건입동 674번지,제주특별자치도 제주시 임항로 279 (건입동),63283,2018-08-31 23:59:59.0
씨유제주오라점,안전상비의약품 판매업소,20150811,,영업/정상,,,,,,제주특별자치도 제주시 오라이동 1373번지 1호 회성푸르니3차 상가동 103호,"제주특별자치도 제주시 연사길 60, 상가동 103호 (오라이동, 회성푸르니3차)",63145,2018-08-31 23:59:59.0
GS25한림뉴월드점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 한림북동길 26,63031,2018-08-31 23:59:59.0
CU한림점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 한림로 698,63030,2018-08-31 23:59:59.0
CU한림중앙점,안전상비의약품 판매업소,20121109,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 한림중앙로 23,63029,2018-08-31 23:59:59.0
CU제주한림항점,안전상비의약품 판매업소,20121112,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 한림해안로 160,63031,2018-08-31 23:59:59.0
GS25노형신도시점,안전상비의약품 판매업소,20160802,,영업/정상,,,,,,,"제주특별자치도 제주시 노형11길 12, 1층 (노형동)",63083,2018-08-31 23:59:59.0
씨유제주도리로점,안전상비의약품 판매업소,20160802,,영업/정상,,,,,,,제주특별자치도 제주시 도리로 59 (이호일동),63108,2018-08-31 23:59:59.0
GS25제주일고점,안전상비의약품 판매업소,20150529,,영업/정상,,,,,,,제주특별자치도 제주시 진군1길 13 (노형동),63089,2018-08-31 23:59:59.0
세븐일레븐제주삼성제일점,안전상비의약품 판매업소,20150610,,영업/정상,,,,,,,제주특별자치도 제주시 신산로 36 (일도이동),63268,2018-08-31 23:59:59.0
GS25 노형서광점,안전상비의약품 판매업소,20121112,,영업/정상,,,,,,제주특별자치도 제주시 노형동 741번지 3호,제주특별자치도 제주시 진군1길 4 (노형동),63087,2018-08-31 23:59:59.0
