"동별(1)",동별(2),동별(3),2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",성북구,종암동,42876,1.46,29367,42068,1.46,28814,41353,1.46,28324,-,-,-
"합계",성북구,석관동,34046,1.73,19680,36507,1.73,21102,36483,1.73,21088,-,-,-
"합계",강북구,소계,322915,23.60,13683,317695,23.60,13462,311569,23.60,13202,302563,23.60,12820
"합계",강북구,번1동,19964,0.55,36298,19614,0.66,29718,19441,0.66,29456,-,-,-
"합계",강북구,번2동,17504,1.25,14003,17102,0.95,18002,16544,0.95,17415,-,-,-
"합계",강북구,번3동,18967,0.86,22055,18251,1.10,16592,17605,1.10,16005,-,-,-
"합계",강북구,수유1동,22338,1.07,20877,21841,1.67,13078,21468,1.67,12855,-,-,-
"합계",강북구,수유2동,22526,0.73,30858,21939,0.57,38489,21595,0.57,37886,-,-,-
"합계",강북구,수유3동,24280,0.86,28233,24064,0.72,33422,23907,0.72,33204,-,-,-
"합계",강북구,삼양동,26575,0.95,27974,25537,0.91,28063,24742,0.91,27189,-,-,-
"합계",강북구,미아동,23228,0.73,31819,22814,0.93,24531,22723,0.93,24433,-,-,-
"합계",강북구,송중동,29549,1.22,24220,31153,1.01,30845,30934,1.01,30628,-,-,-
"합계",강북구,송천동,29519,0.88,33544,28628,0.90,31809,27871,0.90,30968,-,-,-
"합계",강북구,삼각산동,33524,0.62,54071,32900,0.62,53065,32118,0.62,51803,-,-,-
"합계",강북구,우이동,21895,10.95,2000,21391,10.28,2081,21076,10.28,2050,-,-,-
"합계",강북구,인수동,33046,2.93,11278,32461,3.28,9897,31545,3.28,9617,-,-,-
"합계",도봉구,소계,341649,20.67,16531,335631,20.66,16245,327361,20.65,15852,319373,20.65,15465
"합계",도봉구,쌍문1동,22428,1.24,18087,22364,1.24,18035,22016,1.24,17755,-,-,-
"합계",도봉구,쌍문2동,20580,0.54,38111,20025,0.54,37083,19406,0.54,35937,-,-,-
"합계",도봉구,쌍문3동,17406,0.50,34812,17262,0.50,34524,16922,0.50,33844,-,-,-
"합계",도봉구,쌍문4동,20102,0.52,38658,19811,0.52,38098,19297,0.52,37110,-,-,-
"합계",도봉구,방학1동,30563,0.69,44294,30056,0.69,43559,29236,0.69,42371,-,-,-
"합계",도봉구,방학2동,21648,0.74,29254,21140,0.74,28568,20473,0.74,27666,-,-,-
"합계",도봉구,방학3동,29336,2.64,11112,28782,2.64,10902,27973,2.62,10677,-,-,-
"합계",도봉구,창1동,26725,0.88,30369,26271,0.88,29853,25400,0.88,28864,-,-,-
"합계",도봉구,창2동,31351,1.07,29300,30498,1.07,28503,29912,1.05,28488,-,-,-
"합계",도봉구,창3동,15150,0.67,22612,14777,0.67,22055,14402,0.67,21496,-,-,-
"합계",도봉구,창4동,28464,0.96,29650,27873,0.96,29034,27286,0.95,28722,-,-,-
"합계",도봉구,창5동,26029,0.70,37184,25802,0.70,36860,25308,0.70,36154,-,-,-
"합계",도봉구,도봉1동,22839,8.72,2619,22293,8.72,2557,21810,8.72,2501,-,-,-
"합계",도봉구,도봉2동,29028,0.83,34973,28677,0.83,34551,27920,0.83,33639,-,-,-
"합계",노원구,소계,548160,35.44,15468,537303,35.44,15162,527032,35.44,14872,514946,35.44,14530
"합계",노원구,월계1동,24087,1.16,20765,23883,1.16,20589,23085,1.16,19901,-,-,-
"합계",노원구,월계2동,26692,1.94,13759,27289,1.94,14066,27615,1.94,14235,-,-,-
"합계",노원구,월계3동,32496,1.17,27774,31593,1.17,27003,30790,1.17,26316,-,-,-
"합계",노원구,공릉2동,41539,6.82,6091,41071,6.82,6022,40360,6.82,5918,-,-,-
"합계",노원구,하계1동,29901,1.55,19291,29305,1.55,18906,27965,1.55,18042,-,-,-
"합계",노원구,하계2동,23852,0.51,46769,23318,0.51,45722,22723,0.51,44555,-,-,-
"합계",노원구,중계본동,26863,1.97,13636,25875,1.97,13135,24942,1.97,12661,-,-,-
"합계",노원구,중계1동,28351,0.63,45002,28061,0.63,44541,27556,0.63,43740,-,-,-
